,01/01/2018,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
ETF 11,0.2148481373772885,0.2152945020846231,0.2159985163521835,0.19466552997110892,0.13913619245812686,0.18492304831589867,0.13534818138154198,0.9999999999999989,0.5602280379669385,0.5980144753969212,0.38915046644915186,0.61483664457845,0.31562798824234806,0.07820813633981992
ETF 12,0.932760393001604,0.9999990945465892,0.7726795831654508,0.5177357819618301,0.41824005517875695,0.38352557846915253,0.1672107201167136,0.21533315807999545,0.5625396510881668,0.17808482017541397,0.32768095322913326,0.38701066054119176,0.08728862966165818,0.23176257440592837
ETF 13,0.6347373785186053,0.6053893971756596,0.6955888544635074,0.5526384224188571,0.5137530140551421,0.5077983044633638,0.2495448172086153,0.2946787155039887,0.5732321667972651,0.24988936370317286,0.42310456610972447,0.490224310612281,0.18507211936879442,0.29104643511272166
ETF 14,0.6303465749600731,0.5144047269270188,0.6158060480786667,0.9706131228835103,0.9078441729318321,0.5693836033301524,0.3483185475044701,0.20181829337767568,0.6344316329230547,0.205125676589135,0.5594343521813221,0.5431135476023077,0.052072095386404026,0.3190628024031555
ETF 15,0.1769575796222679,0.1606528134894405,0.17759789229273373,0.11582064076763969,0.09519762310788327,0.16708751243279868,0.1172312818447595,0.8444441205240955,0.5401549914307221,0.5898658060048627,0.37309028163850605,0.5438764694970072,0.31416836263621933,0.08189312162937265
ETF 16,0.998398866759644,0.9411871871064279,0.8802263242201462,0.6188121691206172,0.5529026240835125,0.4292368366650921,0.21223838789897512,0.22486280002396242,0.6488660350764905,0.19803302184200863,0.42934663314761207,0.4567669274326257,0.09130370794639994,0.2912007951757839
ETF 17,0.9429485166668481,0.8661297889176099,0.8592890839148738,0.754244760509656,0.6735887108168241,0.5472230951408686,0.34275156374932764,0.300028308014656,0.7268757501288052,0.2590769541698876,0.5309937357581651,0.5665479079597157,0.16045774680916897,0.3361555971339364
ETF 18,0.964574653689096,0.8880436966354585,0.8698223386609624,0.7526969931394676,0.6956424620470845,0.608926685177665,0.36828425519204305,0.24113815526092985,0.7142522510893954,0.22670007118722924,0.5502810904579134,0.5510678068284878,0.09908125745426226,0.3465097611389885
ETF 19,0.9991042181533203,0.9402719643046384,0.8814265422523022,0.6182746585474028,0.5559645842763807,0.4334943213267841,0.214819322001624,0.22202632382107462,0.6508847884414333,0.19693251191112968,0.4354527497231827,0.4592148602844679,0.09176971992634703,0.29995366296327264
ETF 20,0.09750763792463082,0.11514171399510374,0.11618899545280202,0.10987750751655287,0.022044853728988026,0.1963225280421553,0.04954931396622078,0.7737897448012567,0.4299571950425508,0.6507873007377701,0.27247805754654614,0.5649923029242863,0.46293527853558836,0.117631516528745
ETF 21,0.07714063720270255,0.07788433304738267,0.07889583551199456,0.14319286568064357,0.12459399284652829,0.42122648659875755,0.12878873674549113,0.0761005208807513,0.20596236430801346,0.1384409175673564,0.20856434839803598,0.22933044340149825,0.1511815798875331,0.14479802694890834
ETF 22,0.9536187650946264,0.8762332592120483,0.8634007558896755,0.7577339445523751,0.6931203880604955,0.6269152555224795,0.3702893178808921,0.2761327024217916,0.7370795904236904,0.2495926974195549,0.565382670563224,0.582534505417074,0.14233436329998672,0.36386745974079565
ETF 23,0.9907395700395651,0.9393499241198042,0.864880052703062,0.6162879390613791,0.5457682906112793,0.42485093782456945,0.2118137837202084,0.22426128808050041,0.6419888067573243,0.1992956632320771,0.4232536499774062,0.45396777576484876,0.08298372287975156,0.27731758959274466
ETF 24,0.6290507913311805,0.5156790351095736,0.6147775030940054,0.9712057735788645,0.9020935842370531,0.5713578034282749,0.34832677284332153,0.20758485441493543,0.6401047543863753,0.21104676184532287,0.5639399849983864,0.5484621288582398,0.05467477846082638,0.31798768781715514
ETF 25,0.6078019159090555,0.5045610080117837,0.600761955555676,0.9742177150276569,0.8300123538182186,0.5262953817059265,0.3272655426840203,0.2018927529926236,0.5993010286887959,0.18969234517000708,0.5325708326617019,0.5196803668119979,0.04974790292520209,0.26340803746909885
ETF 26,0.6451080930253293,0.5557035398325122,0.6214621883252667,0.6067957900780638,0.5628820215519472,0.5327077596917519,0.288034292669743,0.5708140874496368,0.9960211099465399,0.4964747572929441,0.7370488460232679,0.7730185614792318,0.14558068294692486,0.30395716985362886
ETF 27,0.6207499479496673,0.5177102122489687,0.6117451916444456,1.0000000000000018,0.8581698970155457,0.5453269533828222,0.33030232275025073,0.194665528528927,0.612432378659559,0.184747885646357,0.5341942158101791,0.5317514977176632,0.040285140413148464,0.28010943166234403
ETF 28,0.9405884039221337,0.8679913642262206,0.8371794135227137,0.6712582272032588,0.6307153840926416,0.4460875105999443,0.29270613340208246,0.16851389991617116,0.6086084209107101,0.19705286891635887,0.4537182510182447,0.4176877963179321,-0.0003771859993354292,0.2838466522606512
ETF 29,0.9784046093592231,0.9000504293913579,0.8828283389043685,0.612586912571918,0.5515336348139168,0.41345590111430885,0.2080861109134516,0.2441194154972927,0.649452109242402,0.21413453543823116,0.4292478622985296,0.4626871176583997,0.10834866557367666,0.28456654087355737
ETF 30,0.42962580267963135,0.3835512328431451,0.4126458273037853,0.5453269522897766,0.5368725256097969,1.000000000000002,0.5143735328545047,0.1849230497910277,0.5387920029134594,0.22192585209294094,0.5924644934004109,0.5558809497240177,0.12322853629242543,0.32279700392858546
ETF 31,0.8733656730804235,0.6688870915783705,0.8664898853454783,0.60457801522205,0.6042198023661474,0.3755827296124871,0.19505553822994226,0.17077257621912162,0.6090952457004201,0.18719679459551472,0.43599383438305434,0.42240380065204125,0.07426581461463516,0.3004849081462827
ETF 32,0.9996196800582782,0.9322427484856748,0.876069122912001,0.6212607349107089,0.5619266513972377,0.429932197042838,0.21583488579250784,0.2200992399912663,0.6500993839161932,0.19359966907023657,0.43631217493243235,0.45756481602669147,0.08981231936379812,0.2999725061485448
ETF 33,0.9977276995881912,0.9483267141870108,0.8775782678627158,0.6152452284995766,0.5475669900522934,0.43222561290951705,0.2129672617907586,0.2234963600555464,0.6474978265626191,0.19938173549556637,0.42948435985416894,0.456539189767164,0.08814295967966619,0.2904724694011948
ETF 34,0.048060744503463225,0.08070652218852047,0.07592520925000781,0.03312065982872267,-0.013939594432248008,0.03381966776661948,0.010756729398930206,0.7159215422250113,0.23187825763212055,0.4238377495434656,0.12834718395955488,0.3458440149816899,0.395089567654231,0.17206408162758827
ETF 35,0.43527806007995035,0.3276691132720918,0.427526476751488,0.5341943913081737,0.5081723687683469,0.5924645061909525,0.4321944934560358,0.38915044611574756,0.7329447570112176,0.5220664366939938,0.9999999999612273,0.6991650106067844,0.10115218072008741,0.2633946966801328
ETF 36,0.40864321905168066,0.33633429032091405,0.41960301155463803,0.537029358151334,0.48602758375961674,0.6181176820371652,0.2514404121799732,0.3961649443264036,0.6402331733207344,0.3572339846239521,0.5530886071070709,0.743913119470156,0.28859541522847076,0.30762627866274167
ETF 37,0.7777263064016985,0.6340800817321495,0.7753950729662682,0.7943414774362421,0.7616428835062758,0.6136187436090851,0.5115090548204396,0.24233944676335548,0.6944055443038782,0.2320777087166722,0.5998062541388077,0.5636568851414532,0.14058428217775001,0.388875457241612
ETF 38,0.8751491721166251,0.7364197296725573,0.7525380623421686,0.6379462163950461,0.6161615503010428,0.4544223548472644,0.3155801829805289,0.31723643813747804,0.6739320696295766,0.2880952196203205,0.5167087851172608,0.5487791537528723,0.23832199761900033,0.30004857093120046
ETF 39,0.08764230490399791,0.11092378153527782,0.08884867184976294,0.037302746797231605,-0.03796583308677607,0.0015198972256487738,-0.039142912089253856,0.5401925085916979,0.266493696396106,0.8255651055613976,0.18417009510291354,0.3673933317583574,0.26391356825314266,-0.004028187388302655
ETF 40,0.9443811557496748,0.8903961883754689,0.8539954932026114,0.7376195110861867,0.6449408741637788,0.5346899711334511,0.33280927324958126,0.30514684955352,0.7174776732131997,0.2595567182048396,0.5120526212724507,0.55541153421374,0.15652246125809652,0.3205853697186629
ETF 41,0.6178324189915589,0.5268468182044852,0.5872431649456842,0.9565911675550945,0.8525417056288597,0.5381121243387236,0.33394351896227625,0.23998487705639276,0.6261414571577837,0.24069893480824636,0.5413916103945585,0.5420429454555072,0.06530312508787531,0.2667678053976355
ETF 42,0.4310059683087955,0.3701563237236934,0.4310468942911196,0.5529819678942347,0.5359480640088293,0.9536233419017801,0.4700208514812998,0.22058642999294714,0.5794461965745022,0.24842717964884528,0.6186768813782156,0.5926817922124146,0.12339498958981693,0.2974816209881737
ETF 43,0.21214017064169885,0.1889013750738192,0.225105642372324,0.19911834999612923,0.1378805951281884,0.22856985515385128,0.13776740488675918,0.5640211234494423,0.5044996802742103,0.9641482124826999,0.5220957561325692,0.5518201789627121,0.21259414756897846,0.08407639194209611
ETF 44,0.15678531603665108,0.12797342341832052,0.15710918394835527,0.2317815390172133,0.22145695105117447,0.4505090058319298,0.8278655312826542,0.2660067339312729,0.31120594380338545,0.2832447175179989,0.3865509266304915,0.3516621010304936,0.207657405488293,0.1780910382283322
ETF 45,-0.10264796825373834,-0.037296944883647265,-0.07733469396869862,-0.14052844266680192,-0.19733205152664018,-0.10127326421263798,-0.06605792558736938,0.8020857819447139,0.14424511332437817,0.5121521955600574,-0.01256907165518363,0.3043512817148485,0.3252842259071413,-0.06092536953372677
