,ETF 1 ,ETF 2,ETF 3,ETF 4,ETF 5,ETF 6,ETF 7,ETF 8,ETF 9,ETF 10,ETF 11,ETF 12,ETF 13,ETF 14,ETF 15,ETF 16,ETF 17,ETF 18,ETF 19,ETF 20,ETF 21,ETF 22,ETF 23,ETF 24,ETF 25,ETF 26,ETF 27,ETF 28,ETF 29,ETF 30,ETF 31,ETF 32,ETF 33,ETF 34,ETF 35,ETF 36,ETF 37,ETF 38,ETF 39,ETF 40,ETF 41,ETF 42,ETF 43,ETF 44,ETF 45,ETF 46,ETF 47,ETF 48,ETF 49,ETF 50,ETF 51,ETF 52,ETF 53,ETF 54,ETF 55,ETF 56,ETF 57,ETF 58,ETF 59,ETF 60,ETF 61,ETF 62,ETF 63,ETF 64,ETF 65,ETF 66,ETF 67,ETF 68,ETF 69,ETF 70,ETF 71,ETF 72,ETF 73,ETF 74,ETF 75,ETF 76,ETF 77,ETF 78,ETF 79,ETF 80,ETF 81,ETF 82,ETF 83,ETF 84,ETF 85,ETF 86,ETF 87,ETF 88,ETF 89,ETF 90,ETF 91,ETF 92,ETF 93,ETF 94,ETF 95,ETF 96,ETF 97,ETF 98,ETF 99,ETF 100,ETF 101,ETF 102,ETF 103,ETF 104,ETF 105
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23467715420803073,0.0,0.0033159615205750103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2320738928965796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23234030112610035,0.0020562365014690667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034292625046938993,0.0,0.0,0.05343931124699935,0.0,0.0,0.0,0.0,0.0,0.0,0.23294500075559235,0.0,0.0,0.001117768822408234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009377771068858785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006462901978842307,0.0,0.0,0.0,0.0,0.0009157842738623286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002496292596975844,0.0,0.0,0.0018556295792212395,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011310817523253712,0.2314256488471519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22844422661238162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2327410633593893,0.0005548698476540965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01864800136729268,0.0,0.04146766846270389,0.0,0.0,0.0,0.0,0.0,0.0,0.23126407510852254,0.0,0.0,0.0,0.0,0.0,0.0,0.00015453546529709767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010307233569107925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007978622424987699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012469609369125825,0.0,0.001337893262717783,0.00047887916604435847,0.0,0.0,0.0
2023-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003486132733061946,0.0,0.0,0.0,0.0009594853168294375,0.22716011162953056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236189707983425,0.0,0.0,0.0,0.001911974038841614,0.0,0.0,0.0,0.0,0.0,0.0,0.23030906702389026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008993776175118178,0.0,0.2253967337155772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020523772839187307,0.0,0.0,0.0,0.0,0.0,0.0,0.08277017546455585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010007192447591818,0.0006490453986322779,0.0,0.0,0.0,0.0,0.0,0.0,0.00015366740627326415,0.0,0.0,0.0,0.0,0.0,0.0027696817880311633,0.0,0.0,0.0,0.0
2023-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002410895225825452,0.22429615738618303,0.0,0.0,0.0,0.0,0.0,0.0,5.7639073983068886e-05,0.0,0.0,0.22224902903041396,0.0,0.0,0.0,0.001272194147530735,0.0,0.0,0.0,0.0,0.0,0.0,0.2270240860293178,0.0001985634870607513,0.00011003958646412773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223882460020818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09458078423684113,0.0,0.0,0.0,0.0009136803354610191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002493585490907749,0.0010648506743757894,0.0,0.0,0.0,0.0,0.0,0.0,0.0002760283606998764,0.0,0.0,0.0,0.0,0.00031043526111101775,0.0011037985948235255,0.0,0.0,0.0,0.0
2023-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014891050102657734,0.22005533136798344,0.0,0.0,0.0,0.0,0.0,0.0,0.0017297645677647204,0.0003428704384671938,0.0,0.2191686522629889,0.0,0.0,0.0,0.0017447009270311585,0.0,0.0,0.0,0.0,0.0,0.0,0.2229022867644356,0.0008005877879772398,3.3271060888100884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2189672356605498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10938656363936258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008327375438152428,0.0,0.0,0.0,0.0,0.0,0.0,0.0003639662866829969,0.0,0.0,0.0,0.0,0.0009998776698038213,0.0011830490119834323,0.0,0.0,0.0,0.0
2023-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022694932029474354,0.22419257540599458,0.0,0.0,0.0,0.0,0.0,0.0,0.0001507223050133935,0.0004270974317956486,0.0,0.22274027714341652,0.0,0.0,0.0,0.0009943916429775346,0.0,0.0,0.0,0.0,0.0,0.0,0.22733987371029887,0.0004959938369686127,0.0003008413141462733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22376884833633282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09488772679621665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005000916273323148,0.0,0.0,0.0,0.0,0.0,0.0,0.00024483806681287933,0.0,0.0,0.0,0.0,0.0008198402059867847,0.0008673889737596249,0.0,0.0,0.0,0.0
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.507219352736399e-05,0.0,0.0,0.0,0.0021672056122876387,0.22460424968901763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233529789886814,0.0,5.3526356677490164e-05,0.0,0.0004463108890990855,0.0,0.0,0.0,0.0,0.0,0.0,0.2276999764868851,0.0004122669032554363,4.579966956783748e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22479937161022076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093663022825532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005917484915793621,0.0,0.0,0.0,0.0,0.0,0.0,0.00041775070924919685,0.0,0.0,0.0,0.0,0.0007644523312102538,0.0009062672432093844,0.0,0.0,0.0,0.0
2023-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75524093261595e-05,0.0,0.0,0.0004261106409505391,0.0020083948987533067,0.2238879253957169,0.0,0.0,0.0,0.0,0.0,0.0,0.0003824798177397391,0.0,0.0,0.22038323703075488,0.0,0.0,0.0,0.0006813895724958227,0.0,0.0,0.0,0.0,0.0,0.0,0.22595907853255542,0.00036289015796823137,0.0006476148077551572,0.0,0.0009522671686792143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22224981011532632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361531356250261,0.0,0.0,0.0,0.0,0.0,0.09735805736492001,0.0,0.0,0.0,0.0,0.0014446482249822618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8076156495541238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00014416507809458944,0.0,0.0,0.0,0.0,0.0011074958198525142,0.0013726536720083313,0.0,0.0,0.0,0.0
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.107281064796083e-05,0.0,0.0,0.0,0.002835842886502824,0.223330951190823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22093926245576176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22649958698651504,0.0,7.784427687153026e-05,0.0,0.0006852893215934439,0.0,0.0,0.0,0.00042905623584618767,0.0,0.0,0.0,0.0,0.0005952943881648519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22375621120431238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001664658449867815,0.0,0.0,0.0,0.0,0.0,0.09731082436641622,0.0,0.0,8.484001381281921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006329453745993302,0.0,0.0,0.0,0.0,0.0008301335484013927,0.001794379094744496,0.0,0.0,0.0,0.0
2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003966854614989062,0.22347731294607015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21992490687274396,0.0,0.0009274553199439855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22631564832989468,0.0006309502840544031,0.0004760069389457685,0.0,0.0009595388142987177,0.0,0.0,0.0001704271951444721,0.0006234176861610166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235584941342803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010476429320670546,0.0,0.0,0.0,0.0,0.0,0.09659882958255972,0.0,0.0,0.0002031779307546188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004925367274154446,0.0015696783295369976,0.0,0.0,0.0,0.0
2023-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038656420135930692,0.22488732977144935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220898132864663,0.0,0.0006095746016298488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22789482367490646,0.00029348069959244077,0.0012078284072908926,0.0,0.0002652177030445202,0.0,0.0,0.00046919894749027346,0.0005788438769673262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22503663035577956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09050778143351851,0.0,0.0,1.3848310071563545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000761259950283359,0.0015187269679164204,0.0,0.0,0.0,0.0
2023-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023925586260910054,0.0,0.0,0.0,0.0028803991677065184,0.22534805616767986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22375522311123006,0.0,0.0,0.00040312637474957866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22749027171471703,0.0,0.0024418274371533636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012892344724310919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22370179937979875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09068942265202191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010883214836884768,0.0006730621762141717,0.0,0.0,0.0,0.0
2023-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018763814343934553,0.0,0.0,0.0,0.0023157832710605504,0.22616615282556723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22577540326047077,0.0,0.0,0.001078204500388692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22878839880944665,0.0,0.0022129810094834628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012617274992731068,0.0,0.0,0.0,0.0,0.0,0.0001568489314479832,0.0,0.22463023167160712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08637981832254306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009394383063918864,0.00010737344888024167,0.0,0.0,0.0,0.0
